<All keys matched successfully>
patient137 inverse mean DICE: 0.7323753783170289 | running DICE: 0.6949713732678375 | Percentage: 5.597667638483965e-05 | running Per: 1.5128831455362068e-05 
patient138 mean DICE: 0.6522784206262617 | running DICE: 0.6527335658541377 | Percentage: 0.0 | running Per: 1.4730704311799908e-05 
patient138 inverse mean DICE: 0.6840600085453529 | running DICE: 0.69468423209093 | Percentage: 0.0 | running Per: 1.4730704311799908e-05 
patient139 mean DICE: 0.5454733907557869 | running DICE: 0.64998330495418 | Percentage: 0.0 | running Per: 1.4352993944830679e-05 
patient139 inverse mean DICE: 0.590888801709473 | running DICE: 0.6920228107990978 | Percentage: 0.0 | running Per: 1.4352993944830679e-05 
patient140 mean DICE: 0.5623143005918829 | running DICE: 0.6477915798451225 | Percentage: 0.00014927113702623907 | running Per: 1.772594752186589e-05 
patient140 inverse mean DICE: 0.6145268688271409 | running DICE: 0.6900854122497988 | Percentage: 0.00014927113702623907 | running Per: 1.772594752186589e-05 
patient141 mean DICE: 0.5251638457710089 | running DICE: 0.6448006595018514 | Percentage: 0.0 | running Per: 1.7293607338405745e-05 
patient141 inverse mean DICE: 0.590477733366118 | running DICE: 0.68765595666727 | Percentage: 0.0 | running Per: 1.7293607338405745e-05 
patient142 mean DICE: 0.4585680860348644 | running DICE: 0.6403665506097803 | Percentage: 0.0 | running Per: 1.6881854782729417e-05 
patient142 inverse mean DICE: 0.4960835241259924 | running DICE: 0.68309470827343 | Percentage: 0.0 | running Per: 1.6881854782729417e-05 
patient143 mean DICE: 0.7193939037853164 | running DICE: 0.6422043960324672 | Percentage: 0.0 | running Per: 1.6489253508712457e-05 
patient143 inverse mean DICE: 0.768443663175645 | running DICE: 0.6850795676897606 | Percentage: 0.0 | running Per: 1.6489253508712457e-05 
patient144 mean DICE: 0.565092432543819 | running DICE: 0.6404518514077252 | Percentage: 0.0 | running Per: 1.6114497747150807e-05 
patient144 inverse mean DICE: 0.5964476695671636 | running DICE: 0.6830652063687924 | Percentage: 0.0 | running Per: 1.6114497747150807e-05 
patient145 mean DICE: 0.7991470059995702 | running DICE: 0.6439784103986551 | Percentage: 0.0 | running Per: 1.5756397797214124e-05 
patient145 inverse mean DICE: 0.8105108298896008 | running DICE: 0.6858973313359216 | Percentage: 0.0 | running Per: 1.5756397797214124e-05 
patient146 mean DICE: 0.41474550411520616 | running DICE: 0.6389950863490149 | Percentage: 0.0 | running Per: 1.5413867410318163e-05 
patient146 inverse mean DICE: 0.49541414392730115 | running DICE: 0.6817563924792125 | Percentage: 0.0 | running Per: 1.5413867410318163e-05 
patient147 mean DICE: 0.6339651909323033 | running DICE: 0.6388880672975955 | Percentage: 0.0001119533527696793 | running Per: 1.7467899013708825e-05 
patient147 inverse mean DICE: 0.6719412217696901 | running DICE: 0.681547559059861 | Percentage: 0.0001119533527696793 | running Per: 1.7467899013708825e-05 
patient148 mean DICE: 0.8331424110230293 | running DICE: 0.6429350327918754 | Percentage: 0.0 | running Per: 1.7103984450923225e-05 
patient148 inverse mean DICE: 0.8325248183466581 | running DICE: 0.6846929186283358 | Percentage: 0.0 | running Per: 1.7103984450923225e-05 
patient149 mean DICE: 0.7200712195817042 | running DICE: 0.6445092406855453 | Percentage: 0.0 | running Per: 1.6754923543761526e-05 
patient149 inverse mean DICE: 0.7452639802412838 | running DICE: 0.6859290627428858 | Percentage: 0.0 | running Per: 1.6754923543761526e-05 
patient150 mean DICE: 0.45105691172419676 | running DICE: 0.6406401941063183 | Percentage: 0.0 | running Per: 1.6419825072886297e-05 
patient150 inverse mean DICE: 0.5194528502185691 | running DICE: 0.6825995384923995 | Percentage: 0.0 | running Per: 1.6419825072886297e-05 
Mean DICE
DICE before registration: 0.5800751346053203
Final DICE: 0.6406401941063183 | final percentage of negative jacobian: 1.6419825072886297e-05
Final DICE inverse: 0.6825995384923995 | final percentage of negative jacobian inverse: 1.6419825072886297e-05
Final DICE (w/ two directions): (0.661619866299359 | final percentage of negative jacobian: 1.6419825072886297e-05)
