<All keys matched successfully>
patient143 inverse mean DICE: 0.8669035096692713 | running DICE: 0.8149933956307609 | Percentage: 0.00027988338192419824 | running Per: 9.112482202183198e-05 
patient144 mean DICE: 0.749168595622077 | running DICE: 0.7733801274165792 | Percentage: 0.0 | running Per: 8.905380333951762e-05 
patient144 inverse mean DICE: 0.7866017453020889 | running DICE: 0.8143481308505638 | Percentage: 0.0 | running Per: 8.905380333951762e-05 
patient145 mean DICE: 0.8268392099405965 | running DICE: 0.7745681070282241 | Percentage: 0.0 | running Per: 8.707482993197278e-05 
patient145 inverse mean DICE: 0.8436473047048993 | running DICE: 0.8149992236028824 | Percentage: 0.0 | running Per: 8.707482993197278e-05 
patient146 mean DICE: 0.6096787640323958 | running DICE: 0.7709835560935321 | Percentage: 0.0002612244897959184 | running Per: 9.086069210292812e-05 
patient146 inverse mean DICE: 0.711489420976999 | running DICE: 0.8127490105023196 | Percentage: 0.0002612244897959184 | running Per: 9.086069210292812e-05 
patient147 mean DICE: 0.7784303204231442 | running DICE: 0.7711419978877793 | Percentage: 0.0002239067055393586 | running Per: 9.369145834625644e-05 
patient147 inverse mean DICE: 0.8130833487419338 | running DICE: 0.8127561240818859 | Percentage: 0.0002239067055393586 | running Per: 9.369145834625644e-05 
patient148 mean DICE: 0.8758509745619275 | running DICE: 0.773323434901824 | Percentage: 0.0 | running Per: 9.173955296404276e-05 
patient148 inverse mean DICE: 0.8912358774709777 | running DICE: 0.8143911189441586 | Percentage: 0.0 | running Per: 9.173955296404276e-05 
patient149 mean DICE: 0.768828892410771 | running DICE: 0.7732317095448638 | Percentage: 9.329446064139942e-05 | running Per: 9.177128577378472e-05 
patient149 inverse mean DICE: 0.7880427677784708 | running DICE: 0.8138533974917976 | Percentage: 9.329446064139942e-05 | running Per: 9.177128577378472e-05 
patient150 mean DICE: 0.672219117439658 | running DICE: 0.7712114577027598 | Percentage: 9.329446064139942e-05 | running Per: 9.180174927113701e-05 
patient150 inverse mean DICE: 0.7502776657519387 | running DICE: 0.8125818828570004 | Percentage: 9.329446064139942e-05 | running Per: 9.180174927113701e-05 
Mean DICE
DICE before registration: 0.5800751346053203
Final DICE: 0.7712114577027598 | final percentage of negative jacobian: 9.180174927113701e-05
Final DICE inverse: 0.8125818828570004 | final percentage of negative jacobian inverse: 9.180174927113701e-05
Final DICE (w/ two directions): (0.79189667027988 | final percentage of negative jacobian: 9.180174927113701e-05)
