<All keys matched successfully>
patient134 mean DICE: 0.7853586552483472 | running DICE: 0.7797334191374086 | Percentage: 0.0 | running Per: 0.0002645172354656148 
patient134 inverse mean DICE: 0.8316351438248041 | running DICE: 0.8179364706727007 | Percentage: 0.0 | running Per: 0.0002645172354656148 
patient135 mean DICE: 0.8240201777413931 | running DICE: 0.7809987550975225 | Percentage: 0.0 | running Per: 0.0002569596001665972 
patient135 inverse mean DICE: 0.847448093295065 | running DICE: 0.8187796598904825 | Percentage: 0.0 | running Per: 0.0002569596001665972 
patient136 mean DICE: 0.7959752433593822 | running DICE: 0.7814147686603519 | Percentage: 0.00016793002915451894 | running Per: 0.00025448655652737285 
patient136 inverse mean DICE: 0.8153542444285612 | running DICE: 0.8186845094609847 | Percentage: 0.00016793002915451894 | running Per: 0.00025448655652737285 
patient137 mean DICE: 0.8265286202950622 | running DICE: 0.7826340619477765 | Percentage: 7.463556851311954e-05 | running Per: 0.00024962571901347415 
patient137 inverse mean DICE: 0.8340445389630912 | running DICE: 0.819099645393474 | Percentage: 7.463556851311954e-05 | running Per: 0.00024962571901347415 
patient138 mean DICE: 0.782353696545254 | running DICE: 0.782626683910868 | Percentage: 0.0 | running Per: 0.0002430566211446985 
patient138 inverse mean DICE: 0.826302205007989 | running DICE: 0.8192891864359613 | Percentage: 0.0 | running Per: 0.0002430566211446985 
patient139 mean DICE: 0.7386778487170046 | running DICE: 0.7814997907007689 | Percentage: 0.0008209912536443148 | running Per: 0.0002578754578754579 
patient139 inverse mean DICE: 0.7913055982320366 | running DICE: 0.8185716585332965 | Percentage: 0.0008209912536443148 | running Per: 0.0002578754578754579 
patient140 mean DICE: 0.7441871902326055 | running DICE: 0.7805669756890649 | Percentage: 0.000970262390670554 | running Per: 0.00027568513119533526 
patient140 inverse mean DICE: 0.7968342035672326 | running DICE: 0.8180282221591447 | Percentage: 0.000970262390670554 | running Per: 0.00027568513119533526 
patient141 mean DICE: 0.7626688897664547 | running DICE: 0.7801304370080256 | Percentage: 0.0007090379008746356 | running Per: 0.0002862547109436109 
patient141 inverse mean DICE: 0.8184494091173843 | running DICE: 0.8180384950117847 | Percentage: 0.0007090379008746356 | running Per: 0.0002862547109436109 
patient142 mean DICE: 0.6512341341082964 | running DICE: 0.7770614774151748 | Percentage: 0.000634402332361516 | running Per: 0.00029454394002498957 
patient142 inverse mean DICE: 0.7179335297391116 | running DICE: 0.8156550434576735 | Percentage: 0.000634402332361516 | running Per: 0.00029454394002498957 
patient143 mean DICE: 0.8435502278573649 | running DICE: 0.7786077274254584 | Percentage: 0.0005411078717201166 | running Per: 0.0003002779849481321 
patient143 inverse mean DICE: 0.867234368898692 | running DICE: 0.8168545626539763 | Percentage: 0.0005411078717201166 | running Per: 0.0003002779849481321 
patient144 mean DICE: 0.7589571684722577 | running DICE: 0.7781611238128856 | Percentage: 0.0003358600583090379 | running Per: 0.00030108666843360724 
patient144 inverse mean DICE: 0.7929859021308238 | running DICE: 0.8163120930966319 | Percentage: 0.0003358600583090379 | running Per: 0.00030108666843360724 
patient145 mean DICE: 0.8279239150891583 | running DICE: 0.7792669636190249 | Percentage: 0.0 | running Per: 0.0002943958535795271 
patient145 inverse mean DICE: 0.8468434750978829 | running DICE: 0.8169905682522153 | Percentage: 0.0 | running Per: 0.0002943958535795271 
patient146 mean DICE: 0.6176070195800955 | running DICE: 0.7757526170094831 | Percentage: 0.000317201166180758 | running Per: 0.0002948916212447712 
patient146 inverse mean DICE: 0.7312555999998525 | running DICE: 0.8151267645945552 | Percentage: 0.000317201166180758 | running Per: 0.0002948916212447712 
patient147 mean DICE: 0.7854057262262932 | running DICE: 0.7759580023119684 | Percentage: 0.0003731778425655977 | running Per: 0.0002965572855281931 
patient147 inverse mean DICE: 0.8133846661385465 | running DICE: 0.8150896986699594 | Percentage: 0.0003731778425655977 | running Per: 0.0002965572855281931 
patient148 mean DICE: 0.8736070295402847 | running DICE: 0.7779923570458918 | Percentage: 9.329446064139942e-05 | running Per: 0.00029232264334305155 
patient148 inverse mean DICE: 0.8958951357156698 | running DICE: 0.8167731452750783 | Percentage: 9.329446064139942e-05 | running Per: 0.00029232264334305155 
patient149 mean DICE: 0.7664525010763362 | running DICE: 0.777756849781207 | Percentage: 0.0 | running Per: 0.00028635687511156067 
patient149 inverse mean DICE: 0.7881570485297402 | running DICE: 0.8161891433006837 | Percentage: 0.0 | running Per: 0.00028635687511156067 
patient150 mean DICE: 0.6907431852472933 | running DICE: 0.7760165764905287 | Percentage: 0.0 | running Per: 0.0002806297376093295 
patient150 inverse mean DICE: 0.7613380856367625 | running DICE: 0.8150921221474053 | Percentage: 0.0 | running Per: 0.0002806297376093295 
Mean DICE
DICE before registration: 0.5800751346053203
Final DICE: 0.7760165764905287 | final percentage of negative jacobian: 0.0002806297376093295
Final DICE inverse: 0.8150921221474053 | final percentage of negative jacobian inverse: 0.0002806297376093295
Final DICE (w/ two directions): (0.7955543493189672 | final percentage of negative jacobian: 0.0002806297376093295)
